id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,profit_ratio,profit,year_x,title,studio,domestic_gross_y,foreign_gross,year_y,total_gross,budget_category
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2.546672856794934,635063875.0,2011,Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000.0,2011,1045700000.0,High
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,4.243841388384755,1072413963.0,2015,Avengers: Age of Ultron,BV,459000000.0,946400000.0,2015,1405400000.0,High
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,6.827114,1748134200.0,2018,Avengers: Infinity War,BV,678800000.0,1369.5,2018,678801369.5,High
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2.18648403,355945209.0,2017,Justice League,WB,229000000.0,428900000.0,2017,657900000.0,High
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2.9320697433333334,579620923.0,2015,Spectre,Sony,200100000.0,680600000.0,2015,880700000.0,High
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,3.9434149054545453,809439099.0,2012,The Dark Knight Rises,WB,448100000.0,636800000.0,2012,1084900000.0,High
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,1.4296412618181817,118151347.0,2018,Solo: A Star Wars Story,BV,213800000.0,179200000.0,2018,393000000.0,High
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,0.9454622363636364,-14997885.0,2013,The Lone Ranger,BV,89300000.0,171200000.0,2013,260500000.0,High
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,1.028284,7778100.0,2012,John Carter,BV,73100000.0,211100000.0,2012,284200000.0,High
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,2.255681692307692,326477240.0,2010,Tangled,BV,200800000.0,391000000.0,2010,591800000.0,High
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,4.560277652,890069413.0,2016,Captain America: Civil War,BV,408100000.0,745200000.0,2016,1153300000.0,High
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,3.470001124,617500281.0,2016,Batman v Superman: Dawn of Justice,WB,330400000.0,543300000.0,2016,873700000.0,High
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,4.068014272,767003568.0,2012,The Hobbit: An Unexpected Journey,WB (NL),303000000.0,718100000.0,2012,1021100000.0,High
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,3.84146742,710366855.0,2013,The Hobbit: The Desolation of Smaug,WB (NL),258399999.0,700000000.0,2013,958399999.0,High
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,3.782310484,695577621.0,2014,The Hobbit: The Battle of the Five Armies,WB (NL),255100000.0,700900000.0,2014,956000000.0,High
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,4.939385068,984846267.0,2017,The Fate of the Furious,Uni.,226000000.0,1010.0,2017,226001010.0,High
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,3.4271353782608696,558241137.0,2017,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172600000.0,622300000.0,2017,794900000.0,High
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,2.9688867466666666,442999518.0,2013,Man of Steel,WB,291000000.0,377000000.0,2013,668000000.0,High
31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,3.444955759090909,537890267.0,2012,The Amazing Spider-Man,Sony,262000000.0,495900000.0,2012,757900000.0,High
32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,1.4248987136363636,93477717.0,2012,Battleship,Uni.,65400000.0,237600000.0,2012,303000000.0,High
33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,2.778310322580645,385893340.0,2017,Transformers: The Last Knight,Par.,130199999.0,475300000.0,2017,605499999.0,High
34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,7.669092390697674,1433854864.0,2015,Jurassic World,Uni.,652300000.0,1019.4,2015,652301019.4,High
37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,5.2573289333333335,894039076.0,2014,Transformers: Age of Extinction,Par.,245400000.0,858600000.0,2014,1104000000.0,High
39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,1.5355190761904762,112459006.0,2010,Robin Hood,Uni.,105300000.0,216400000.0,2010,321700000.0,High
9,2018-11-21,Robin Hood,99000000.0,30824628.0,84747441.0,0.8560347575757575,-14252559.0,2018,Robin Hood,Uni.,105300000.0,216400000.0,2010,321700000.0,High
42,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,6.74129112,1148258224.0,2018,Black Panther,BV,700100000.0,646900000.0,2018,1347000000.0,High
44,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,6.212603555,1042520711.0,2018,Incredibles 2,BV,608600000.0,634200000.0,2018,1242800000.0,High
45,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,5.24551428,849102856.0,2016,Rogue One: A Star Wars Story,BV,532200000.0,523900000.0,2016,1056100000.0,High
46,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,5.106075965,821215193.0,2016,Finding Dory,BV,486300000.0,542300000.0,2016,1028600000.0,High
47,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,5.34439761,868879522.0,2010,Toy Story 3,BV,415000000.0,652000000.0,2010,1067000000.0,High
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,6.07696136,1015392272.0,2013,Iron Man 3,BV,409000000.0,805800000.0,2013,1214800000.0,High
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,5.552634905,910526981.0,2012,Skyfall,Sony,304400000.0,804200000.0,2012,1108600000.0,High
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,3.717941645,543588329.0,2013,Monsters University,BV,268500000.0,475700000.0,2013,744200000.0,High
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,3.739313875,547862775.0,2014,X-Men: Days of Future Past,Fox,233900000.0,513900000.0,2014,747800000.0,High
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,3.54498168,508996336.0,2014,The Amazing Spider-Man 2,Sony,202900000.0,506100000.0,2014,709000000.0,High
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2.800776915,360155383.0,2011,Cars 2,BV,191500000.0,370700000.0,2011,562200000.0,High
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,3.26110043,452220086.0,2018,Fantastic Beasts: The Crimes of Grindelwald,WB,159600000.0,494100000.0,2018,653700000.0,High
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,1.09767746,19535492.0,2011,Green Lantern,WB,116600000.0,103300000.0,2011,219900000.0,High
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,5.763028425641026,928790543.0,2011,Transformers: Dark of the Moon,P/DW,352400000.0,771400000.0,2011,1123800000.0,High
