id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit_ratio,profit,year,title_norm,month
1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,6.532577127058824,2351345279.0,2009,avatar,12
2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2.546672856794934,635063875.0,2011,pirates of the caribbean on stranger tides,5
3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,0.42789242857142856,-200237650.0,2019,dark phoenix,6
4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,4.243841388384755,1072413963.0,2015,avengers age of ultron,5
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,4.153696362776025,999721747.0,2017,star wars ep viii the last jedi,12
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,6.710167385620915,1747311220.0,2015,star wars ep vii the force awakens,12
7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,6.827114,1748134200.0,2018,avengers infinity war,4
8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000.0,309420425.0,963420425.0,3.2114014166666665,663420425.0,2007,pirates of the caribbean at worlds end,5
9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2.18648403,355945209.0,2017,justice league,11
10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2.9320697433333334,579620923.0,2015,spectre,11
11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,3.9434149054545453,809439099.0,2012,the dark knight rises,7
12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,1.4296412618181817,118151347.0,2018,solo a star wars story,5
13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,0.9454622363636364,-14997885.0,2013,the lone ranger,7
14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,1.028284,7778100.0,2012,john carter,3
15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,2.255681692307692,326477240.0,2010,tangled,11
16,2007-05-04,Spider-Man 3,258000000.0,336530303.0,894860230.0,3.468450503875969,636860230.0,2007,spiderman 3,5
17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,4.560277652,890069413.0,2016,captain america civil war,5
18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,3.470001124,617500281.0,2016,batman v superman dawn of justice,3
19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,4.068014272,767003568.0,2012,the hobbit an unexpected journey,12
20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,935213767.0,3.740855068,685213767.0,2009,harry potter and the halfblood prince,7
21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,3.84146742,710366855.0,2013,the hobbit the desolation of smaug,12
22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,3.782310484,695577621.0,2014,the hobbit the battle of the five armies,12
23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,4.939385068,984846267.0,2017,the fate of the furious,4
24,2006-06-28,Superman Returns,232000000.0,200120000.0,374085065.0,1.612435625,142085065.0,2006,superman returns,6
25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,3.4271353782608696,558241137.0,2017,pirates of the caribbean dead men tell no tales,5
26,2008-11-14,Quantum of Solace,230000000.0,169368427.0,591692078.0,2.5725742521739132,361692078.0,2008,quantum of solace,11
27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,6.746381764444444,1292935897.0,2012,the avengers,5
28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000.0,423315812.0,1066215812.0,4.738736942222222,841215812.0,2006,pirates of the caribbean dead mans chest,7
29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,2.9688867466666666,442999518.0,2013,man of steel,6
30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000.0,141621490.0,417341288.0,1.854850168888889,192341288.0,2008,the chronicles of narnia prince caspian,5
