title,studio,domestic_gross,foreign_gross,year,total_gross,title_norm
Toy Story 3,BV,415000000.0,652000000.0,2010,1067000000.0,toy story 3
Alice in Wonderland (2010),BV,334200000.0,691300000.0,2010,1025500000.0,alice in wonderland
Harry Potter and the Deathly Hallows Part 1,WB,296000000.0,664300000.0,2010,960300000.0,harry potter and the deathly hallows part 1
Inception,WB,292600000.0,535700000.0,2010,828300000.0,inception
Shrek Forever After,P/DW,238700000.0,513900000.0,2010,752600000.0,shrek forever after
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000.0,2010,698500000.0,the twilight saga eclipse
Iron Man 2,Par.,312400000.0,311500000.0,2010,623900000.0,iron man 2
Tangled,BV,200800000.0,391000000.0,2010,591800000.0,tangled
Despicable Me,Uni.,251500000.0,291600000.0,2010,543100000.0,despicable me
How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,494900000.0,how to train your dragon
Clash of the Titans (2010),WB,163200000.0,330000000.0,2010,493200000.0,clash of the titans
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,415700000.0,the chronicles of narnia the voyage of the dawn treader
The King's Speech,Wein.,135500000.0,275400000.0,2010,410900000.0,the kings speech
Tron Legacy,BV,172100000.0,228000000.0,2010,400100000.0,tron legacy
The Karate Kid,Sony,176600000.0,182500000.0,2010,359100000.0,the karate kid
Prince of Persia: The Sands of Time,BV,90800000.0,245600000.0,2010,336400000.0,prince of persia the sands of time
Black Swan,FoxS,107000000.0,222400000.0,2010,329400000.0,black swan
Megamind,P/DW,148400000.0,173500000.0,2010,321900000.0,megamind
Robin Hood,Uni.,105300000.0,216400000.0,2010,321700000.0,robin hood
The Last Airbender,Par.,131800000.0,187900000.0,2010,319700000.0,the last airbender
Little Fockers,Uni.,148400000.0,162200000.0,2010,310600000.0,little fockers
Resident Evil: Afterlife,SGem,60100000.0,240100000.0,2010,300200000.0,resident evil afterlife
Shutter Island,Par.,128000000.0,166800000.0,2010,294800000.0,shutter island
Salt,Sony,118300000.0,175200000.0,2010,293500000.0,salt
Sex and the City 2,WB (NL),95300000.0,193000000.0,2010,288300000.0,sex and the city 2
The Tourist,Sony,67600000.0,210700000.0,2010,278300000.0,the tourist
The Expendables,LGF,103100000.0,171400000.0,2010,274500000.0,the expendables
Grown Ups,Sony,162000000.0,109400000.0,2010,271400000.0,grown ups
Knight & Day,Fox,76400000.0,185500000.0,2010,261900000.0,knight day
True Grit,Par.,171200000.0,81000000.0,2010,252200000.0,true grit
Gulliver's Travels,Fox,42800000.0,194600000.0,2010,237400000.0,gullivers travels
Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000.0,137700000.0,2010,226500000.0,percy jackson the olympians the lightning thief
The Social Network,Sony,97000000.0,128000000.0,2010,225000000.0,the social network
Valentine's Day,WB (NL),110500000.0,106000000.0,2010,216500000.0,valentines day
The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,215300000.0,the sorcerers apprentice
Due Date,WB,100500000.0,111200000.0,2010,211700000.0,due date
Eat Pray Love,Sony,80600000.0,124000000.0,2010,204600000.0,eat pray love
Yogi Bear,WB,100200000.0,101300000.0,2010,201500000.0,yogi bear
Red,Sum.,90400000.0,108600000.0,2010,199000000.0,red
Paranormal Activity 2,Par.,84800000.0,92800000.0,2010,177600000.0,paranormal activity 2
The A-Team,Fox,77200000.0,100000000.0,2010,177200000.0,the ateam
Jackass 3-D,Par.,117200000.0,54500000.0,2010,171700000.0,jackass 3d
The Other Guys,Sony,119200000.0,51200000.0,2010,170400000.0,the other guys
Unstoppable,Fox,81600000.0,86200000.0,2010,167800000.0,unstoppable
Step Up 3-D,BV,42400000.0,116900000.0,2010,159300000.0,step up 3d
The Book of Eli,WB,94800000.0,62300000.0,2010,157100000.0,the book of eli
The Town,WB,92200000.0,61800000.0,2010,154000000.0,the town
Date Night,Fox,98700000.0,53600000.0,2010,152300000.0,date night
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000.0,2010,140100000.0,legend of the guardians the owls of gahoole
The Wolfman,Uni.,62000000.0,77800000.0,2010,139800000.0,the wolfman
The Bounty Hunter,Sony,67099999.0,69300000.0,2010,136399999.0,the bounty hunter
Saw 3D,LGF,45700000.0,90400000.0,2010,136100000.0,saw 3d
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000.0,2010,134800000.0,wall street money never sleeps
The Fighter,Par.,93600000.0,35600000.0,2010,129200000.0,the fighter
Predators,Fox,52000000.0,75200000.0,2010,127200000.0,predators
A Nightmare on Elm Street (2010),WB (NL),63100000.0,52600000.0,2010,115700000.0,a nightmare on elm street
Dear John,SGem,80000000.0,35000000.0,2010,115000000.0,dear john
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000.0,2010,112500000.0,cats dogs the revenge of kitty galore
Tooth Fairy,Fox,60000000.0,52400000.0,2010,112400000.0,tooth fairy
Life as We Know It,WB,53400000.0,52300000.0,2010,105700000.0,life as we know it
Hereafter,WB,32700000.0,72500000.0,2010,105200000.0,hereafter
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000.0,2010,104400000.0,the girl with the dragon tattoo
Love and Other Drugs,Fox,32400000.0,70500000.0,2010,102900000.0,love and other drugs
Aftershock (Tangshan Dadizhen),CL,63000.0,100200000.0,2010,100263000.0,aftershock
Killers,LGF,47100000.0,51100000.0,2010,98200000.0,killers
Kick-Ass,LGF,48100000.0,48100000.0,2010,96200000.0,kickass
Green Zone,Uni.,35100000.0,59800000.0,2010,94900000.0,green zone
Nanny McPhee Returns,Uni.,29000000.0,64200000.0,2010,93200000.0,nanny mcphee returns
Get Him to the Greek,Uni.,61000000.0,30300000.0,2010,91300000.0,get him to the greek
Burlesque,SGem,39400000.0,50100000.0,2010,89500000.0,burlesque
The Last Song,BV,63000000.0,26100000.0,2010,89100000.0,the last song
Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010,86800000.0,dinner for schmucks
Marmaduke,Fox,33600000.0,50100000.0,2010,83700000.0,marmaduke
Piranha 3D,W/Dim.,25000000.0,58200000.0,2010,83200000.0,piranha 3d
Oceans,BV,19400000.0,63200000.0,2010,82600000.0,oceans
Edge of Darkness,WB,43300000.0,37800000.0,2010,81100000.0,edge of darkness
Vampires Suck,Fox,36700000.0,43900000.0,2010,80600000.0,vampires suck
Letters to Juliet,Sum.,53000000.0,26100000.0,2010,79100000.0,letters to juliet
The Back-Up Plan,CBS,37500000.0,40000000.0,2010,77500000.0,the backup plan
If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000.0,75600000.0,2010,76027000.0,if you are the one 2
Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010,75700000.0,diary of a wimpy kid
Easy A,SGem,58400000.0,16600000.0,2010,75000000.0,easy a
Hubble 3D,WB,52400000.0,21500000.0,2010,73900000.0,hubble 3d
Takers,SGem,57700000.0,11300000.0,2010,69000000.0,takers
Tales from Earthsea,BV,48500.0,68600000.0,2010,68648500.0,tales from earthsea
Legion (2010),SGem,40200000.0,27800000.0,2010,68000000.0,legion
The American,Focus,35600000.0,32299999.0,2010,67899999.0,the american
The Last Exorcism,LGF,41000000.0,26700000.0,2010,67700000.0,the last exorcism
The Next Three Days,LGF,21100000.0,46300000.0,2010,67400000.0,the next three days
The Girl Who Played with Fire,MBox,7600000.0,59500000.0,2010,67100000.0,the girl who played with fire
Skyline,Uni.,21400000.0,45400000.0,2010,66800000.0,skyline
Hot Tub Time Machine,MGM,50300000.0,14300000.0,2010,64600000.0,hot tub time machine
Devil,Uni.,33600000.0,29100000.0,2010,62700000.0,devil
127 Hours,FoxS,18300000.0,42400000.0,2010,60700000.0,127 hours
Tyler Perry's Why Did I Get Married Too?,LGF,60100000.0,578000.0,2010,60678000.0,tyler perrys why did i get married too
Secretariat,BV,59700000.0,537000.0,2010,60237000.0,secretariat
The Ghost Writer,Sum.,15500000.0,44700000.0,2010,60200000.0,the ghost writer
Morning Glory,Par.,31000000.0,29000000.0,2010,60000000.0,morning glory
Remember Me,Sum.,19100000.0,37000000.0,2010,56100000.0,remember me
Cop Out,WB,44900000.0,10700000.0,2010,55600000.0,cop out
The Crazies,Over.,39100000.0,15700000.0,2010,54800000.0,the crazies
From Paris with Love,LGF,24100000.0,28700000.0,2010,52800000.0,from paris with love
Daybreakers,LGF,30100000.0,21300000.0,2010,51400000.0,daybreakers
Alpha and Omega,LGF,25100000.0,25400000.0,2010,50500000.0,alpha and omega
The Switch,Mira.,27800000.0,22100000.0,2010,49900000.0,the switch
She's Out of My League,Par.,32000000.0,17800000.0,2010,49800000.0,shes out of my league
Death at a Funeral (2010),SGem,42700000.0,6300000.0,2010,49000000.0,death at a funeral
